"732","1","F","10000 m",,"10000m","10K","min","450"
"733","1","F","1000 m",,"1000m","1KO","min","410"
"734","1","F","100 m",,"100m","100","sec","15"
"735","1","F","100 m Hürden",,"100m Hrd","10H","sec","115"
"736","1","F","110 m Hürden",,"110m Hrd","11H","sec","120"
"737","1","F","1500 m",,"1500m","1K5","min","420"
"738","1","F","2000 m",,"2000m","2K0","min","430"
"739","1","F","200 m",,"200m","200","sec","20"
"740","1","F","3000 m",,"3000m","3K0","min","435"
"741","1","F","300 m",,"300m","300","sec","30"
"742","3","F","3 x 1000 m Staffel",,"3x1000m","3X1","min","5"
"743","3","F","3 x 800 m Staffel",,"3x800m","3X8","min","4"
"744","1","F","400 m",,"400m","400","min","35"
"745","1","F","400 m",,"400m","400","sec","35"
"746","3","F","4 x 100 m Staffel",,"4x100m","4X1","sec","3"
"747","3","F","4 x 50 m Staffel",,"4x50m","4X5","sec","1"
"748","3","F","4 x 75 m Staffel",,"4x75m","4X7","sec","2"
"749","1","F","5000 m",,"5000m","5K0","min","445"
"750","1","F","50 m",,"50m","50M","sec","1"
"751","1","F","60 m Hürden",,"60m Hrd","60H","sec","100"
"752","1","F","75 m",,"75m","75M","sec","10"
"753","1","F","800 m",,"800m","800","min","400"
"754","1","F","80 m Hürden",,"80m Hrd","80H","sec","110"
"755","2","F","Ballwurf",,"Ball","BAL","m ","10"
"756","4","F","Blockmehrkampf Lauf","100m Weitsprung 80m-Hürden Ball 2000m","Block Lauf","BL","Punkte","10"
"757","3","F","Blockmehrkampf Mannschaft ","5 Teilnehmer","Block","BM","Punkte","9"
"758","4","F","Blockmehrkampf Sprint/Sprung","75m Weitsprung 60m-Hürden Hochsprung Speer","Block Spring/Sprung","BS","Punkte","11"
"759","4","F","Blockmehrkampf Sprint/Sprung","100m Weitsprung 80m-Hürden Hochsprung Speer","Block Spring/Sprung","BS","Punkte","12"
"760","4","F","Blockmehrkampf Wurf","100m Weitsprung 80m-Hürden Kugel Diskus","Block Wurf","BW","Punkte","13"
"761","2","F","Diskuswurf",,"Diskus","DIS","m ","40"
"762","4","F","Dreikampf","50m Weitsprung Ball","Dreikampf","3K","Punkte","1"
